1048
60014	48900
61352	52960
39519	17541
56170	40384
53269	35904
50033	31322
44526	23685
61502	53546
38062	15920
60260	49543
39575	17609
57943	43785
61547	53739
36486	14206
61657	54217
34815	12496
60597	50584
58366	44698
52737	35086
33673	11340
61839	54993
46577	26535
35243	12950
39110	17097
61893	55290
32426	10176
60991	51857
58887	45913
62028	55879
30921	8813
54663	37977
61562	53820
62137	56471
29949	7960
35009	12718
48638	29399
31508	9327
62247	57119
29801	7833
57240	42315
27959	6302
61623	54082
38462	16338
59935	48628
62184	56781
28080	6388
33503	11168
61198	52530
30259	8224
62000	55736
43857	22784
28227	6503
53477	36187
61744	54620
28518	6746
60543	50448
57985	43879
31198	9059
61487	53514
29179	7305
61146	52368
29781	7820
46861	26908
56664	41277
59417	47258
41956	20400
30464	8418
60840	51331
36882	14616
32755	10483
60417	50060
31252	9114
55321	38963
58722	45522
60045	48979
32199	9965
39003	16949
50062	31386
44826	24103
35433	13109
59825	48288
33204	10894
57577	43027
59316	46997
34277	11963
37520	15275
58982	46114
35446	13123
52931	35413
48278	28927
43684	22593
40276	18417
56695	41328
58633	45321
36637	14385
55945	39988
51025	32667
49189	30158
47360	27640
43941	22902
42293	20825
40674	18890
39135	17124
58332	44623
54310	37421
45533	25052
52965	35453
87	54906
346	55538
1508	57088
2900	58120
5	54544
40	54755
192	55186
530	55857
1117	56672
2126	57598
3736	58549
792	56238
4953	59089
13	54608
41	54761
496	55793
121	55000
1460	57039
3470	58432
6246	59534
43	54765
89	54911
7264	59855
120	55001
5709	59360
190	55188
8359	60194
507	55815
3271	58335
1270	56837
305	55468
9598	60529
335	55511
7396	59900
438	55692
531	55858
11230	60931
783	56232
12404	61189
10315	60707
6819	59717
927	56434
1118	56674
14008	61508
1355	56929
15685	61735
1611	57193
4533	58916
13213	61363
9663	60545
2128	57600
17566	61980
1979	57493
1884	57416
2826	58083
19581	62162
16839	61886
13032	61331
3733	58551
21777	62327
9433	60488
3471	58433
3942	58651
6436	59613
3270	58338
20994	62282
24159	62454
3814	58592
5371	59241
15936	61770
5235	59198
20486	62239
6245	59535
24269	62457
11979	61091
24883	62486
7263	59857
6970	59780
6818	59718
17026	61908
7397	59902
21385	62307
25093	62494
8626	60267
25969	62534
9653	60541
11980	61092
18577	62081
22774	62379
15986	61783
10945	60867
26433	62550
10794	60828
10977	60879
27539	62583
12405	61191
24728	62484
14007	61510
28258	62604
14942	61649
15937	61773
17027	61909
