a,b,d,C11,C22,C33,C12,anisotropy
1.641379,0.172414,0.627354,0.311978,0.248601,0.027646,0.037982,1.254936
1.641379,0.241379,0.644741,0.297060,0.221191,0.041004,0.041367,1.343006
1.641379,0.310345,0.667922,0.288784,0.194810,0.053492,0.045798,1.482389
1.641379,0.379310,0.696899,0.279127,0.171898,0.063770,0.050662,1.623791
1.641379,0.448276,0.731672,0.268353,0.153188,0.071889,0.055819,1.751786
1.641379,0.517241,0.772240,0.256723,0.138536,0.078300,0.061155,1.853115
1.641379,0.586207,0.818603,0.244478,0.127452,0.083493,0.066561,1.918194
1.641379,0.655172,0.870762,0.231857,0.119396,0.087854,0.071922,1.941928
1.641379,0.724138,0.928716,0.219120,0.113881,0.091636,0.077119,1.924120
1.641379,0.793103,0.992466,0.206429,0.110505,0.094989,0.082044,1.868062
1.641379,0.862069,1.062011,0.193941,0.108932,0.097983,0.086608,1.780383
1.641379,0.931034,1.137351,0.181780,0.108900,0.100646,0.090746,1.669237
1.641379,1.000000,1.218487,0.170016,0.110179,0.102980,0.094415,1.543086
1.686207,-1.000000,1.186094,0.176144,0.104999,0.102395,0.093832,1.677583
1.686207,-0.931034,1.107115,0.187803,0.103851,0.100015,0.090123,1.808392
1.686207,-0.862069,1.033778,0.199819,0.103995,0.097350,0.085987,1.921427
1.686207,-0.793103,0.966081,0.212089,0.105645,0.094398,0.081467,2.007558
1.686207,-0.724138,0.904027,0.224498,0.109069,0.091136,0.076630,2.058306
1.686207,-0.655172,0.847613,0.236898,0.114608,0.087493,0.071560,2.067032
1.686207,-0.586207,0.796841,0.249090,0.122674,0.083317,0.066356,2.030503
1.686207,-0.517241,0.751710,0.260873,0.133787,0.078346,0.061120,1.949922
1.686207,-0.448276,0.712221,0.272019,0.148534,0.072171,0.055944,1.831358
1.686207,-0.379310,0.678372,0.282263,0.167458,0.064258,0.050914,1.685579
1.686207,-0.310345,0.650166,0.291430,0.190805,0.054092,0.046111,1.527369
1.686207,-0.241379,0.627600,0.299248,0.217909,0.041546,0.041656,1.373270
1.686207,-0.172414,0.610676,0.313877,0.246346,0.027900,0.038170,1.274130
1.686207,-0.103448,0.599394,0.318364,0.271277,0.014917,0.035291,1.173573
1.686207,-0.034483,0.593752,0.320765,0.286283,0.006893,0.033737,1.120446
1.686207,0.034483,0.593752,0.320763,0.286282,0.006893,0.033737,1.120442
