id,Time,Latitude,Longitude,SpeedOverGround (m/s),CourseOverGround (deg),Temperature (C),Humidity (%),Pressure (hPa),Device1_MAC,Device1_WindSpeed (m/s),Device1_WindAngle (deg),Device1_TrueWindAngle (deg),Device1_TrueWindSpeed (m/s),Device1_CrossWindSpeed (m/s),Device1_TrueWindDirection (deg),Device1_VelocityMadeGood (m/s),Device2_MAC,Device2_WindSpeed (m/s),Device2_WindAngle (deg),Device2_TrueWindAngle (deg),Device2_TrueWindSpeed (m/s),Device2_CrossWindSpeed (m/s),Device2_TrueWindDirection (deg),Device2_VelocityMadeGood (m/s),Device3_MAC,Device3_WindSpeed (m/s),Device3_WindAngle (deg),Device3_TrueWindAngle (deg),Device3_TrueWindSpeed (m/s),Device3_CrossWindSpeed (m/s),Device3_TrueWindDirection (deg),Device3_VelocityMadeGood (m/s)
41,2025-05-15 23:29:55.683237,40.8113683,1.7098484,4.328179836273193,41.37045580276723,23.670000000000016,49.0,1011.0,,8.2,17.0,34.307652591882196,4.2535366128462355,,75.67810839464943,3.5751761835315596,,,,,,,,,,,,,,,,
42,2025-05-15 23:30:00.683034,40.811232,1.7096909,3.6619136333465576,35.57551499015873,23.670000000000016,49.0,1011.0,,8.6,15.0,25.60310437536185,5.150811186808381,,61.178619365520575,3.3023470892203206,,,,,,,,,,,,,,,,
43,2025-05-15 23:30:05.683056,40.8111103,1.7095633,3.848665475845337,34.39799037724853,23.670000000000016,49.0,1011.0,,8.7,14.0,24.619832330728237,5.052192217977691,,59.01782270797677,3.4987908537843695,,,,,,,,,,,,,,,,
44,2025-05-15 23:30:10.683104,40.8109548,1.7093978,4.16891622543335,34.54266402915316,23.670000000000016,49.0,1011.0,,8.6,14.0,24.832978938566914,4.953939335519772,,59.23096931581544,3.4928020683357,,,,,,,,,,,,,,,,
45,2025-05-15 23:30:15.683229,40.8108455,1.7092709,4.130060195922852,33.98426874374793,23.670000000000016,49.0,1011.0,,8.2,14.0,27.404254010064104,4.310031229716893,,61.38852275381204,3.666589856588445,,,,,,,,,,,,,,,,
46,2025-05-15 23:30:20.683156,40.8106885,1.7090896,3.9417097568511963,36.8216044570521,23.670000000000016,49.0,1011.0,,8.5,16.0,28.98690276654659,4.834648643822024,,65.8085072235987,3.4479337734435433,,,,,,,,,,,,,,,,
47,2025-05-15 23:30:25.682965,40.8105758,1.7089672,4.656660556793213,34.55587019991338,23.670000000000016,49.0,1011.0,,8.6,13.0,27.458191559142186,4.1955624639158815,,62.014061759055565,4.1320762553759005,,,,,,,,,,,,,,,,
48,2025-05-15 23:30:30.683335,40.8104116,1.7087894,4.092129230499268,39.9338279636926,23.670000000000016,49.0,1011.0,,8.5,17.0,31.619684183735803,4.74015154522467,,71.5535121474284,3.4846398236442746,,,,,,,,,,,,,,,,
49,2025-05-15 23:30:35.683180,40.8102517,1.7086107,3.900059938430786,39.55819146500399,23.670000000000016,49.0,1011.0,,8.6,17.0,30.17698181977362,5.002055437473859,,69.73517328477762,3.3715114015328935,,,,,,,,,,,,,,,,
50,2025-05-15 23:30:40.683172,40.8101497,1.7084907,4.258347988128662,38.72578606557079,23.670000000000016,49.0,1011.0,,8.2,16.0,31.95109358936816,4.271063558528297,,70.67687965493894,3.6132087556251777,,,,,,,,,,,,,,,,
51,2025-05-15 23:30:45.683190,40.8100227,1.7083232,3.9205760955810547,40.61549450323821,23.670000000000016,49.0,1011.0,,8.7,16.0,28.360544215776205,5.0483208512113285,,68.97603871901441,3.4500124584618193,,,,,,,,,,,,,,,,
52,2025-05-15 23:30:50.683005,40.8099079,1.7081618,3.82975435256958,35.38287974990227,23.670000000000016,49.0,1011.0,,8.7,16.0,27.878547471801724,5.128423261374307,,63.261427221704,3.3852760079970903,,,,,,,,,,,,,,,,
53,2025-05-15 23:30:55.683208,40.8097863,1.7080213,4.14790678024292,34.6118504303508,23.670000000000016,49.0,1011.0,,8.5,15.0,28.437053374584472,4.61989565123394,,63.04890380493527,3.6474236712601,,,,,,,,,,,,,,,,
54,2025-05-15 23:31:00.682454,40.8096231,1.7078474,4.219753265380859,34.36264414829372,23.670000000000016,49.0,1011.0,,8.8,18.0,33.23830640292421,4.961207316087865,,67.60095055121792,3.529393362835592,,,,,,,,,,,,,,,,
55,2025-05-15 23:31:05.682846,40.8094886,1.7076857,3.91082501411438,35.99402800136209,23.670000000000016,49.0,1011.0,,8.6,16.0,28.55434377009826,4.959247944895537,,64.54837177146035,3.435128461876524,,,,,,,,,,,,,,,,
56,2025-05-15 23:31:10.683267,40.80938,1.7075618,4.198602199554443,36.73214605439786,23.670000000000016,49.0,1011.0,,8.4,17.0,32.63973332125003,4.553444168906255,,69.3718793756479,3.5355529327028297,,,,,,,,,,,,,,,,
57,2025-05-15 23:31:15.682853,40.8091931,1.7073602,4.150886535644531,34.91579043332178,23.670000000000016,49.0,1011.0,,8.2,15.0,29.379189324377073,4.326072528366973,,64.29497975769885,3.6170495573414474,,,,,,,,,,,,,,,,
58,2025-05-15 23:31:20.683003,40.8090743,1.7072353,3.8513431549072266,34.25740459356216,23.670000000000016,49.0,1011.0,,8.9,14.0,24.22948720879734,5.246454039849984,,58.486891802359494,3.5120745965731173,,,,,,,,,,,,,,,,
59,2025-05-15 23:31:25.683168,40.8089156,1.7070595,4.188680171966553,35.53408647774802,23.670000000000016,49.0,1011.0,,8.3,14.0,27.454228548130157,4.355267039772605,,62.98831502587818,3.716948597362592,,,,,,,,,,,,,,,,
60,2025-05-15 23:31:30.682526,40.8087802,1.7068939,3.920719623565674,32.915788100936986,23.670000000000016,49.0,1011.0,,8.3,14.0,25.913500015423335,4.594710867405515,,58.82928811636032,3.5265102215922117,,,,,,,,,,,,,,,,
61,2025-05-15 23:31:35.683226,40.8086772,1.7067565,3.9505198001861572,34.323879409659305,23.670000000000016,49.0,1011.0,,8.4,15.0,27.57385658418232,4.696736502465488,,61.89773599384162,3.501799549269806,,,,,,,,,,,,,,,,
62,2025-05-15 23:31:40.682968,40.8085437,1.7065741,4.061393737792969,34.23008383688211,23.670000000000016,49.0,1011.0,,8.1,16.0,30.938493544705736,4.342707787855972,,65.16857738158785,3.483537398085991,,,,,,,,,,,,,,,,
63,2025-05-15 23:31:45.683168,40.8083667,1.7063751,3.9313740730285645,34.355428053435595,23.670000000000016,49.0,1011.0,,8.2,16.0,29.772511278139692,4.551791014275618,,64.12793933157529,3.412447579738275,,,,,,,,,,,,,,,,
64,2025-05-15 23:31:50.685978,40.808212,1.7062123,4.300154209136963,32.02724537671544,23.670000000000016,49.0,1011.0,,8.3,18.0,35.51627531411669,4.415028596348413,,67.54352069083214,3.500112807494538,,,,,,,,,,,,,,,,
