a,b,m,n1,n2,n3,Chomog_00,Chomog_01,Chomog_11,Chomog_22
0.2,0.2,8,10.4040404040404,10.4040404040404,10.4040404040404,0.676635285650087,0.193272372572936,0.676635285650085,0.187287908586226
0.2,0.2,8,10.5656565656566,10.5656565656566,10.5656565656566,0.676076592356611,0.193019415408062,0.676076592356614,0.187021382844512
0.2,0.2,8,10.7272727272727,10.7272727272727,10.7272727272727,0.675539540858178,0.192775648880684,0.675539540858181,0.1867639964259
0.2,0.2,8,10.8888888888889,10.8888888888889,10.8888888888889,0.675023272103868,0.192540724132278,0.675023272103866,0.186515469312341
0.2,0.2,8,11.0505050505051,11.0505050505051,11.0505050505051,0.674527009369827,0.192314318133664,0.674527009369822,0.186275537161875
0.2,0.2,8,11.2121212121212,11.2121212121212,11.2121212121212,0.674050040641775,0.192096126427025,0.674050040641771,0.186043943017944
0.2,0.2,8,11.3737373737374,11.3737373737374,11.3737373737374,0.673591707576477,0.191885859256585,0.67359170757648,0.185820433305416
0.2,0.2,8,11.5353535353535,11.5353535353535,11.5353535353535,0.673151399730396,0.191683240500781,0.673151399730396,0.185604757479395
0.2,0.2,8,11.6969696969697,11.6969696969697,11.6969696969697,0.672728553015989,0.191488008879823,0.672728553015988,0.185396670653639
0.2,0.2,8,11.8585858585859,11.8585858585859,11.8585858585859,0.672322651657166,0.191299921028827,0.672322651657167,0.185195938609917
0.2,0.2,8,12.020202020202,12.020202020202,12.020202020202,0.671933233262993,0.191118756185649,0.671933233262995,0.185002344751105
0.2,0.2,8,12.1818181818182,12.1818181818182,12.1818181818182,0.671559897015768,0.190944322429871,0.671559897015768,0.184815698777583
0.2,0.2,8,12.3434343434343,12.3434343434343,12.3434343434343,0.671202315376069,0.190776464617671,0.671202315376072,0.184635847118347
0.2,0.2,8,12.5050505050505,12.5050505050505,12.5050505050505,0.670841399027119,0.190607993261187,0.670841399027118,0.184455209848384
0.2,0.2,8,12.6666666666667,12.6666666666667,12.6666666666667,0.670450353627474,0.190428653174779,0.67045035362747,0.184263169969317
