a,b,m,n1,n2,n3,Area
0.2,0.2,8,4.01005025125628,4.01005025125628,4.01005025125628,0.148500792356596
0.2,0.2,8,4.09045226130653,4.09045226130653,4.09045226130653,0.148882181643725
0.2,0.2,8,4.17085427135678,4.17085427135678,4.17085427135678,0.149245174388471
0.2,0.2,8,4.25125628140704,4.25125628140704,4.25125628140704,0.149590929962326
0.2,0.2,8,4.33165829145729,4.33165829145729,4.33165829145729,0.149920518275069
0.2,0.2,8,4.41206030150754,4.41206030150754,4.41206030150754,0.150234927885049
0.2,0.2,8,4.49246231155779,4.49246231155779,4.49246231155779,0.150535073270206
0.2,0.2,8,4.57286432160804,4.57286432160804,4.57286432160804,0.150821801356854
0.2,0.2,8,4.65326633165829,4.65326633165829,4.65326633165829,0.151095897390929
0.2,0.2,8,4.73366834170854,4.73366834170854,4.73366834170854,0.151358090225784
0.2,0.2,8,4.81407035175879,4.81407035175879,4.81407035175879,0.15160905709142
0.2,0.2,8,4.89447236180905,4.89447236180905,4.89447236180905,0.151849427902119
0.2,0.2,8,4.9748743718593,4.9748743718593,4.9748743718593,0.152079789152524
0.2,0.2,8,5.05527638190955,5.05527638190955,5.05527638190955,0.15230068744626
0.2,0.2,8,5.1356783919598,5.1356783919598,5.1356783919598,0.152512632695948
0.2,0.2,8,5.21608040201005,5.21608040201005,5.21608040201005,0.152716101028961
0.2,0.2,8,5.2964824120603,5.2964824120603,5.2964824120603,0.152911537429295
0.2,0.2,8,5.37688442211055,5.37688442211055,5.37688442211055,0.153099358142454
0.2,0.2,8,5.4572864321608,5.4572864321608,5.4572864321608,0.153279952867249
0.2,0.2,8,5.53768844221106,5.53768844221106,5.53768844221106,0.153453686755706
0.2,0.2,8,5.61809045226131,5.61809045226131,5.61809045226131,0.153620902239989
0.2,0.2,8,5.69849246231156,5.69849246231156,5.69849246231156,0.153781920703147
0.2,0.2,8,5.77889447236181,5.77889447236181,5.77889447236181,0.153937044008716
0.2,0.2,8,5.85929648241206,5.85929648241206,5.85929648241206,0.154086555902582
0.2,0.2,8,5.93969849246231,5.93969849246231,5.93969849246231,0.15423072329912
0.2,0.2,8,6.02010050251256,6.02010050251256,6.02010050251256,0.154369797462353
0.2,0.2,8,6.10050251256281,6.10050251256281,6.10050251256281,0.154504015091794
0.2,0.2,8,6.18090452261307,6.18090452261307,6.18090452261307,0.154633599321625
0.2,0.2,8,6.26130653266332,6.26130653266332,6.26130653266332,0.15475876064101
0.2,0.2,8,6.34170854271357,6.34170854271357,6.34170854271357,0.154879697742557
0.2,0.2,8,6.42211055276382,6.42211055276382,6.42211055276382,0.154996598305246
0.2,0.2,8,6.50251256281407,6.50251256281407,6.50251256281407,0.155109639717539
0.2,0.2,8,6.58291457286432,6.58291457286432,6.58291457286432,0.155218989745825
0.2,0.2,8,6.66331658291457,6.66331658291457,6.66331658291457,0.155324807152847
0.2,0.2,8,6.74371859296482,6.74371859296482,6.74371859296482,0.155427242270355
0.2,0.2,8,6.82412060301507,6.82412060301507,6.82412060301507,0.155526437529784
0.2,0.2,8,6.90452261306533,6.90452261306533,6.90452261306533,0.155622527954457
0.2,0.2,8,6.98492462311558,6.98492462311558,6.98492462311558,0.155715641616429
0.2,0.2,8,7.06532663316583,7.06532663316583,7.06532663316583,0.155805900060871
0.2,0.2,8,7.14572864321608,7.14572864321608,7.14572864321608,0.155893418700573
0.2,0.2,8,7.22613065326633,7.22613065326633,7.22613065326633,0.155978307182963
0.2,0.2,8,7.30653266331658,7.30653266331658,7.30653266331658,0.156060669731782
0.2,0.2,8,7.38693467336683,7.38693467336683,7.38693467336683,0.156140605465418
0.2,0.2,8,7.46733668341709,7.46733668341709,7.46733668341709,0.156218208693673
0.2,0.2,8,7.54773869346734,7.54773869346734,7.54773869346734,0.156293569194643
0.2,0.2,8,7.62814070351759,7.62814070351759,7.62814070351759,0.156366772473184
0.2,0.2,8,7.70854271356784,7.70854271356784,7.70854271356784,0.156437900002386
0.2,0.2,8,7.78894472361809,7.78894472361809,7.78894472361809,0.156507029449279
0.2,0.2,8,7.86934673366834,7.86934673366834,7.86934673366834,0.156574234885967
0.2,0.2,8,7.94974874371859,7.94974874371859,7.94974874371859,0.156639586987238
0.2,0.2,8,8.03015075376884,8.03015075376884,8.03015075376884,0.156703153215627
0.2,0.2,8,8.1105527638191,8.1105527638191,8.1105527638191,0.156764997994845
0.2,0.2,8,8.19095477386935,8.19095477386935,8.19095477386935,0.156825182872391
0.2,0.2,8,8.2713567839196,8.2713567839196,8.2713567839196,0.156883766672116
0.2,0.2,8,8.35175879396985,8.35175879396985,8.35175879396985,0.156940805637436
