Var1,Var2,Var3,Var4,Var5,Var6,Var7
71,6.1222,3,250,0.371922071312845,2.73836447131285,2638.51125354789
75,7.6841,2.7,105,-0.334689227880493,2.44330837211951,1902.3997794986
78,9.5344,3.8,294,0.504612592749026,2.71672179274903,2588.7474544874
83,15.9893,3,165,-0.102379120585495,2.77850727941451,2768.16191008489
87,33.7129,2.7,356,-0.750438186369987,2.79922541363001,2835.61124947355
92,45.0175,3.4,212,-0.100524798905928,2.47169520109407,1984.88552675493
99,12.5838,2.8,143,0.0828284775936897,2.70649287759369,2595.3673321964
2,3.0018,3.4,332,0.93202072139175,2.47535272139175,2071.05937913507
4,3.0073,3.2,184,-0.354156476341298,2.1151747236587,1307.5268942105
12,3.0669,3.5,335,-0.734817626364152,2.35184637363585,1781.90447560256
17,3.1368,2,8,-0.149702074785006,2.67973992521499,2599.93911714755
23,3.2585,2.2,244,0.56879307412771,2.72945787412771,2729.32332359886
26,3.3371,3.5,105,-0.43385640651175,2.08691919348825,1247.56979706556
34,3.6172,2.7,32,1.15872623706322,2.80494703706322,2873.6914354419
35,3.6607,2.8,84,-0.979527603795861,2.41580279620414,1859.85752427992
36,3.7064,2.5,325,-0.198344484955244,2.37387551504476,1763.87074788947
37,3.7545,3.1,59,-1.22969098071385,2.21708381928615,1444.21081759317
42,4.0339,2.8,158,0.87222172802326,2.41555372802326,1836.61493162275
47,4.3942,2.5,52,-0.209622443181357,2.46548635681864,1941.3919933685
49,4.5672,3.7,187,0.143073354577795,2.0979605545778,1216.18565760535
50,4.6611,2,12,0.868224461060687,2.46300086106069,1933.82409672233
55,5.2206,3.5,8,-0.261978630873761,2.41313016912624,1819.89901994769
60,5.9836,2.6,162,0.276179066957413,2.23106626695741,1450.85902751565
64,6.8174,2.6,140,-0.264584359027965,2.41052444097204,1815.45300014823
65,7.069,2.6,287,-0.588674454709565,2.44654514529044,1895.54538610615
70,8.7117,4,74,0.353353077325701,2.2053514773257,1405.82095671446
71,9.1446,3.8,250,0.471101290329604,2.3230996903296,1634.87278415938
72,9.6255,2,185,-0.965094791428096,2.3273468085719,1642.80074756519
79,15.3582,2.1,112,0.492594366789658,2.39603716678966,1794.05059791082
81,18.5216,2.6,243,-0.609842855469868,2.52826554453013,2095.39395665429
85,31.019,2.3,32,0.987063090831629,2.78761709083163,2785.91505236738
86,36.9174,2.1,296,0.832995734628886,2.42777213462889,1868.80844354772
87,45.0393,3.1,241,-0.988026906182404,2.5101922938176,2059.43129402423
90,NaN,2.7,5,0.394003371662196,2.3488905716622,1701.99777086083
92,56.3395,3,290,0.868007811257651,2.51422861125765,2074.69001529643
5,4.0152,2.2,70,0.716770407838575,2.31154680783858,1679.29697505903
12,4.0891,2.1,74,0.185510365595993,2.44906396559599,1983.07285626662
17,4.1821,2.8,299,-1.22898289943935,2.21779190056065,1486.70502296665
25,4.412,3.7,61,-0.491277880690705,2.7497193193093,2746.09963880788
46,5.7482,2.3,71,-0.365639400238833,2.30946939976117,1597.89720516897
50,6.2086,2.3,205,-0.827336447246543,2.25932755275346,1497.56146665213
54,6.7844,2.2,99,0.045067998160782,2.51439919816078,2039.82571660835
56,7.1278,2.1,350,-0.306415838699195,2.47158176130081,1940.79430548202
59,7.7318,3.5,184,-0.387358645998295,2.54497215400171,2112.74722981246
63,8.7563,2.7,274,-1.07878113480441,2.16221606519559,1319.23508413603
71,12.122,2.4,103,-0.965786061584467,2.53243313841553,2090.31344237418
72,12.7506,2.3,133,0.585538749647984,2.12887074964798,1265.54552492302
84,33.7815,3.9,162,0.41426860043612,2.62637780043612,2328.26522227256
85,38.7408,2.6,206,0.299302662519879,2.56285626251988,2171.08025760196
89,75.9864,2.8,159,-0.493340439671484,2.23321276032852,1461.60503346144
92,63.4769,2.3,348,-0.892049626607312,2.65761397339269,2421.89143703283
96,33.7815,3.4,106,1.2007308802452,2.7955072802452,2810.83559832015
97,29.8466,3.6,68,0.815137835374308,2.56424743537431,2191.16291746506
98,26.677,3,190,0.102332700631363,2.77744150063136,2762.96574511401
99,24.0848,3,23,-0.822331856940939,2.62444294305906,2347.07523255474
100,21.9343,3.5,199,-0.849180960420601,2.1345942395794,1292.56617485438
3,5.0068,2.5,58,0.153277572200726,2.15960917220073,1371.40626142101
9,5.062,3.2,348,-1.24111252397539,2.35999547602461,1764.03743504364
22,5.3904,2.4,117,-0.89401094848942,2.44987505151058,1950.08809097431
23,5.4293,3.8,300,-0.0431960623225594,2.22035753767744,1464.32177459367
34,6.0241,2.5,219,0.787828934488602,2.6912717344886,2507.33742630856
38,6.3353,4,225,0.755855102140589,2.55640910214059,2148.60441082204
39,6.4231,3.4,146,0.14685311496742,2.10174031496742,1217.4792415103
44,6.9345,2.4,70,0.781931354005719,2.53104095400572,2074.22921248057
46,7.1783,2.4,77,-0.0382435087771368,2.73975409122286,2605.62527203975
49,7.5959,2,120,0.837694516955369,2.58680411695537,2203.70566665505
62,10.5563,2.5,114,0.7967654598124,2.5973194598124,2228.63025169429
66,12.1393,2.6,39,0.35664665432044,2.41442265432044,1803.91130291222
69,13.7193,3,58,0.183933086640872,2.44748668664087,1878.1984527747
74,17.6097,3.6,285,-1.1729402343625,2.2223901656375,1424.01295108103
82,32.1548,2,111,-0.517057799082304,2.7239394009177,2574.56817347106
86,51.4339,2.5,105,-0.309897433222679,2.21087816677732,1409.06785375665
91,78.7186,4,61,-0.531111222368329,2.76133037763167,2688.36096021911
100,26.7402,3,15,-1.17244154967328,2.42866645032672,1865.33029699769
