"56","1.7879","2.2","242","-1.1264076143282","2.1660339856718","1344.2920668656"
"61","2.062","3.4","61","-0.45144453901308","2.3265530609869","1652.843579721"
"62","2.1293","2.7","5","0.3940033716622","2.1431129716622","1303.5546598775"
"65","2.3651","2","335","-0.4198957864938","2.4609906135062","1945.4372085034"
"73","3.4166","3.1","68","0.70192424712788","2.2967006471279","1596.9357661009"
"94","14.0486","2.3","84","-0.80461196026089","2.6421628397391","2421.7705368811"
"97","8.1509","4","184","-0.44269559542662","2.0780800045734","1212.7696221756"
"98","7.1487","2.7","145","1.2276756197206","2.7710076197206","2789.6701746884"
"1","2.0003","3.6","165","-0.12285494470259","2.3979206552974","1902.3685260489"
"2","2.0012","3.3","356","-0.91720222778554","2.1180173722145","1328.3474453821"
"3","2.0027","2.3","325","-0.18247692615882","2.4926318738412","2129.3099655212"
"4","2.0049","3.7","52","-0.31024121590841","2.4677563840916","2068.2002193778"
"7","2.015","3.4","11","0.0077409706481077","2.6828497706481","2632.2672572421"
"8","2.0196","3.4","5","0.49615239394499","2.348150793945","1789.0476633125"
"9","2.0249","2.4","309","0.53355752980261","2.1283339298026","1345.8309847442"
"10","2.0308","4","331","-0.87280242085616","2.2138615791438","1508.320205524"
"14","2.0612","2.6","209","-0.11233961784457","2.3569915821554","1809.0554534666"
"15","2.0705","2.7","186","-1.1090764142998","2.2348095857002","1550.6618025633"
"19","2.1151","3.7","247","-0.71480866096097","2.114633339039","1320.9288418513"
"37","2.5037","4","121","-0.10013802846771","2.1634155715323","1352.6672506033"
"42","2.6904","2.1","294","0.27886485388762","2.2337520538876","1471.3728493734"
"47","2.9312","2.2","122","-0.98097925710572","2.2085735428943","1418.7794865366"
"57","3.6686","2.3","43","0.65681671971882","2.2515931197188","1496.8731385875"
"63","4.3985","3.3","247","-0.63753204896519","2.1919099510348","1385.8500772915"
"66","4.9072","2.6","321","1.1349787468049","2.7297551468049","2615.8742242522"
"71","6.1222","3","250","0.37192207131285","2.7383644713128","2638.5112535479"
"75","7.6841","2.7","105","-0.33468922788049","2.4433083721195","1902.3997794986"
"78","9.5344","3.8","294","0.50461259274903","2.716721792749","2588.7474544874"
"83","15.9893","3","165","-0.10237912058549","2.7785072794145","2768.1619100849"
"87","33.7129","2.7","356","-0.75043818636999","2.79922541363","2835.6112494735"
"92","45.0175","3.4","212","-0.10052479890593","2.4716952010941","1984.8855267549"
"99","12.5838","2.8","143","0.08282847759369","2.7064928775937","2595.3673321964"
"2","3.0018","3.4","332","0.93202072139175","2.4753527213917","2071.0593791351"
"4","3.0073","3.2","184","-0.3541564763413","2.1151747236587","1307.5268942105"
"12","3.0669","3.5","335","-0.73481762636415","2.3518463736358","1781.9044756026"
"17","3.1368","2","8","-0.14970207478501","2.679739925215","2599.9391171476"
"23","3.2585","2.2","244","0.56879307412771","2.7294578741277","2729.3233235989"
"26","3.3371","3.5","105","-0.43385640651175","2.0869191934883","1247.5697970656"
"34","3.6172","2.7","32","1.1587262370632","2.8049470370632","2873.6914354419"
"35","3.6607","2.8","84","-0.97952760379586","2.4158027962041","1859.8575242799"
"36","3.7064","2.5","325","-0.19834448495524","2.3738755150448","1763.8707478895"
"37","3.7545","3.1","59","-1.2296909807139","2.2170838192861","1444.2108175932"
"42","4.0339","2.8","158","0.87222172802326","2.4155537280233","1836.6149316227"
"47","4.3942","2.5","52","-0.20962244318136","2.4654863568186","1941.3919933685"
"49","4.5672","3.7","187","0.1430733545778","2.0979605545778","1216.1856576054"
"50","4.6611","2","12","0.86822446106069","2.4630008610607","1933.8240967223"
"55","5.2206","3.5","8","-0.26197863087376","2.4131301691262","1819.8990199477"
"60","5.9836","2.6","162","0.27617906695741","2.2310662669574","1450.8590275157"
"64","6.8174","2.6","140","-0.26458435902796","2.410524440972","1815.4530001482"
"65","7.069","2.6","287","-0.58867445470957","2.4465451452904","1895.5453861061"
"70","8.7117","4","74","0.3533530773257","2.2053514773257","1405.8209567145"
"71","9.1446","3.8","250","0.4711012903296","2.3230996903296","1634.8727841594"
"72","9.6255","2","185","-0.9650947914281","2.3273468085719","1642.8007475652"
"79","15.3582","2.1","112","0.49259436678966","2.3960371667897","1794.0505979108"
"81","18.5216","2.6","243","-0.60984285546987","2.5282655445301","2095.3939566543"
"85","31.019","2.3","32","0.98706309083163","2.7876170908316","2785.9150523674"
"86","36.9174","2.1","296","0.83299573462889","2.4277721346289","1868.8084435477"
